x,y,speed,pos,angle
1391.27,1196.39,1.52,2.67,173.59
1398.49,1113.57,1.42,57.13,173.81
1407.86,1031.36,1.35,139.77,172.55
1389.9,988.15,1.38,6.07,264.64
1308.64,980.53,1.28,87.69,264.64
1226.45,972.82,1.44,170.24,264.64
1144.78,964.28,1.4,66.9,264.46
1062.83,956.34,1.36,149.23,264.46
981.0,946.28,1.33,46.56,261.99
898.99,934.74,1.43,129.37,261.99
863.0,984.16,1.35,10.21,353.51
853.62,1066.67,1.44,93.25,353.51
844.2,1149.51,1.38,176.62,353.51
834.7,1233.13,1.34,21.0,353.5
825.55,1313.58,1.33,48.71,353.52
846.05,1372.71,1.37,24.66,82.96
928.44,1388.81,1.28,108.49,71.2
1006.53,1415.14,1.25,2.62,94.19
1081.27,1449.59,1.52,74.2,63.85
1155.51,1487.1,1.44,157.36,62.35
1220.08,1504.74,1.32,53.84,173.89
1299.36,1504.82,1.39,28.93,86.2
1377.82,1508.89,1.41,1.42,67.37
1446.03,1542.62,1.32,41.4,68.27
1501.67,1593.99,1.25,5.23,20.52
1523.56,1655.96,1.32,1.2,200.6
1591.42,1624.08,1.47,12.81,107.42
1671.42,1603.93,1.25,1.87,101.16
1687.14,1537.05,1.51,1.37,87.14
1694.16,1455.8,1.27,1.43,174.4
1702.18,1372.9,1.27,24.58,174.93
1723.47,1297.5,1.4,32.77,174.99
1729.55,1214.49,1.29,0.06,174.44
1738.45,1132.5,1.33,72.61,174.61
1739.42,1056.73,1.27,8.31,268.21
1738.98,1004.31,1.31,9.08,179.95
1762.39,981.93,1.33,11.15,83.54
1845.56,990.64,1.36,112.52,84.09
1798.53,987.06,1.27,159.68,264.09
1740.39,989.86,0.0,0.05,354.56
1736.33,1046.08,1.25,8.37,354.08
1750.28,1109.35,1.5,49.98,354.61
1742.54,1191.4,1.3,132.4,354.61
1735.1,1274.75,1.47,55.8,354.99
1735.72,1352.6,0.71,3.65,2.86
1730.64,1428.43,1.33,28.17,353.66
1721.32,1511.0,1.45,30.06,353.66
1707.26,1591.57,1.34,45.97,353.27
1696.0,1663.53,1.33,19.85,353.94
1687.23,1746.2,1.35,102.95,353.95
1678.5,1828.55,1.36,76.37,353.95
1669.76,1882.96,0.0,5.46,83.92
1667.41,1901.47,1.52,1.06,64.58
1667.92,1943.28,1.45,28.91,173.93
1674.35,1884.74,1.5,1.48,263.92
1676.37,1836.43,1.34,84.42,173.95
1685.09,1754.25,1.25,1.78,173.95
1693.77,1672.48,1.27,28.98,173.92
1704.89,1600.74,1.45,1.53,173.12
1718.83,1519.14,1.35,38.52,168.19
1728.43,1436.65,1.44,36.59,173.66
1738.07,1356.87,1.53,1.73,207.85
1733.07,1283.24,1.51,64.44,174.99
1740.49,1199.52,1.34,140.67,174.61
1748.21,1117.65,1.38,58.44,174.61
1745.33,1057.53,1.32,1.82,264.44
1772.58,1029.42,0.19,0.18,357.14
1841.29,1043.49,1.34,95.07,84.09
1923.0,1051.95,1.33,12.92,84.09
